Skill / Job Role(Historical trends & salary statistics),Rank6 Months to22 May 2021,RankChangeYear-on-Year,Median Salary6 Months to22 May 2021,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
Agile Software Development,1,0,"£60,000",+4.34%,"26,758 (28.90%)","5,072"
Developer,2,0,"£54,000",+2.85%,"25,564 (27.61%)","6,461"
Social Skills,3,0,"£52,500",+5.00%,"19,024 (20.55%)","4,067"
Azure,4,+3,"£57,500",-,"18,323 (19.79%)","3,881"
JavaScript,5,+1,"£52,500",-,"17,395 (18.79%)","4,077"
Finance,6,-2,"£62,500",-1.22%,"16,757 (18.10%)","3,287"
SQL,7,-2,"£52,500",+5.00%,"16,691 (18.03%)","2,979"
AWS,8,+4,"£65,000",-,"15,208 (16.43%)","3,092"
Microsoft,9,-1,"£50,000",+5.26%,"14,831 (16.02%)","3,372"
DevOps,10,+5,"£65,000",-,"13,666 (14.76%)","2,838"
Python,11,+3,"£65,000",+4.00%,"12,784 (13.81%)","2,516"
C#,12,-3,"£52,500",+5.00%,"12,697 (13.71%)","2,943"
Java,13,-2,"£65,000",-,"12,264 (13.25%)","2,332"
.NET,14,-4,"£52,500",+5.00%,"11,122 (12.01%)","2,689"
Software Engineering,15,+4,"£60,000",+1.69%,"11,003 (11.88%)","2,520"
HTML,16,+2,"£50,000",-,"9,629 (10.40%)","2,413"
Docker,17,+10,"£65,000",-,"9,427 (10.18%)","1,733"
Problem-Solving,18,+4,"£50,000",+2.04%,"9,390 (10.14%)","2,079"
CSS,19,+2,"£50,000",-,"9,303 (10.05%)","2,245"
Windows,20,-7,"£45,000",+5.88%,"9,168 (9.90%)","1,738"
Degree,21,-1,"£55,000",+10.00%,"9,112 (9.84%)","2,738"
Analyst,22,-6,"£44,000",+2.32%,"8,702 (9.40%)",931
Linux,23,0,"£55,000",-,"8,471 (9.15%)","1,900"
React,24,+4,"£60,000",-,"8,234 (8.89%)","1,771"
Kubernetes,25,+16,"£70,000",-,"7,862 (8.49%)","1,524"
SQL Server,26,-9,"£50,000",-,"7,856 (8.48%)","1,787"
Microservices,27,+8,"£67,500",+3.84%,"7,435 (8.03%)","1,599"
Scrum,28,-4,"£57,500",+4.54%,"7,374 (7.96%)","1,402"
Git (software),29,+1,"£54,000",-,"7,100 (7.67%)","1,645"
Analytics,30,+3,"£60,000",-2.04%,"6,654 (7.19%)","1,166"
Analytical Skills,31,-2,"£50,000",-1.96%,"6,366 (6.88%)","1,331"
AngularJS,32,-7,"£55,000",-,"6,286 (6.79%)","1,589"
TDD,33,-7,"£60,000",-,"6,009 (6.49%)","1,347"
Mentoring,34,+5,"£62,500",+4.16%,"5,978 (6.46%)","1,244"
Project Management,35,+1,"£55,000",-,"5,901 (6.37%)","1,084"
Test Automation,36,-5,"£57,500",+9.52%,"5,871 (6.34%)",917
Business Intelligence,37,+5,"£55,000",-,"5,805 (6.27%)",857
Microsoft 365,38,-4,"£42,500",-,"5,689 (6.14%)","1,042"
Node.js,39,+4,"£60,000",-,"5,479 (5.92%)","1,280"
Active Directory,40,-8,"£42,500",+6.25%,"5,440 (5.88%)",924
Senior Developer,41,+4,"£60,000",-,"5,282 (5.70%)","1,158"
Software Engineer,42,+16,"£57,500",+4.54%,"5,193 (5.61%)","1,250"
Terraform,43,+55,"£70,000",-0.35%,"5,162 (5.58%)",999
User Experience,44,+7,"£55,000",-,"5,149 (5.56%)",936
Marketing,45,+29,"£55,000",+10.00%,"5,030 (5.43%)",951
SaaS,46,+18,"£60,000",-,"4,966 (5.36%)",932
Architect,47,-7,"£80,000",-,"4,945 (5.34%)","1,302"
TypeScript,48,+44,"£62,500",+8.69%,"4,926 (5.32%)","1,180"
GCP,49,+40,"£70,000",-6.66%,"4,877 (5.27%)",883
Computer Science,50,0,"£57,500",+4.54%,"4,840 (5.23%)","1,128"
